"vote","team"
"Barack Obama","Duke"
"Barack Obama","Duke"
"Barack Obama","Duke"
"Barack Obama","Duke"
"Barack Obama","Duke"
"Barack Obama","Duke"
"Barack Obama","Duke"
"Barack Obama","Duke"
"Barack Obama","Duke"
"Barack Obama","Duke"
"Barack Obama","Duke"
"Barack Obama","Duke"
"Barack Obama","Duke"
"Barack Obama","Duke"
"Barack Obama","Duke"
"Barack Obama","Duke"
"Barack Obama","Duke"
"Barack Obama","Duke"
"Barack Obama","Duke"
"Barack Obama","Duke"
"Barack Obama","Duke"
"Barack Obama","Duke"
"Barack Obama","Duke"
"Barack Obama","Duke"
"Barack Obama","Duke"
"Barack Obama","Duke"
"Barack Obama","Duke"
"Barack Obama","Duke"
"Barack Obama","Duke"
"Barack Obama","Duke"
"Barack Obama","Duke"
"Barack Obama","Duke"
"Barack Obama","Duke"
"Barack Obama","Duke"
"Barack Obama","Duke"
"Barack Obama","Duke"
"Barack Obama","Duke"
"Barack Obama","Duke"
"Barack Obama","Duke"
"Barack Obama","Duke"
"Barack Obama","Duke"
"Barack Obama","Duke"
"Barack Obama","Duke"
"Barack Obama","Duke"
"Barack Obama","Duke"
"Barack Obama","Duke"
"Barack Obama","Duke"
"Barack Obama","Duke"
"Barack Obama","Duke"
"Barack Obama","Duke"
"Barack Obama","Duke"
"Barack Obama","Duke"
"Barack Obama","Duke"
"Barack Obama","Duke"
"Barack Obama","Duke"
"Barack Obama","Duke"
"Barack Obama","Duke"
"Barack Obama","Duke"
"Barack Obama","Duke"
"Barack Obama","Duke"
"Barack Obama","Duke"
"Barack Obama","Duke"
"Barack Obama","Duke"
"Barack Obama","Duke"
"Barack Obama","Duke"
"Barack Obama","Duke"
"Barack Obama","Duke"
"Barack Obama","Duke"
"Barack Obama","Duke"
"Barack Obama","Duke"
"Barack Obama","Duke"
"Barack Obama","Duke"
"Barack Obama","Duke"
"Barack Obama","Duke"
"Barack Obama","Duke"
"Barack Obama","Duke"
"Barack Obama","Duke"
"Barack Obama","Duke"
"Barack Obama","Duke"
"Barack Obama","Duke"
"Barack Obama","Duke"
"Barack Obama","Duke"
"Barack Obama","Duke"
"Barack Obama","Duke"
"Barack Obama","Duke"
"Barack Obama","Duke"
"Barack Obama","Duke"
"Barack Obama","Duke"
"Barack Obama","UNC"
"Barack Obama","UNC"
"Barack Obama","UNC"
"Barack Obama","UNC"
"Barack Obama","UNC"
"Barack Obama","UNC"
"Barack Obama","UNC"
"Barack Obama","UNC"
"Barack Obama","UNC"
"Barack Obama","UNC"
"Barack Obama","UNC"
"Barack Obama","UNC"
"Barack Obama","UNC"
"Barack Obama","UNC"
"Barack Obama","UNC"
"Barack Obama","UNC"
"Barack Obama","UNC"
"Barack Obama","UNC"
"Barack Obama","UNC"
"Barack Obama","UNC"
"Barack Obama","UNC"
"Barack Obama","UNC"
"Barack Obama","UNC"
"Barack Obama","UNC"
"Barack Obama","UNC"
"Barack Obama","UNC"
"Barack Obama","UNC"
"Barack Obama","UNC"
"Barack Obama","UNC"
"Barack Obama","UNC"
"Barack Obama","UNC"
"Barack Obama","UNC"
"Barack Obama","UNC"
"Barack Obama","UNC"
"Barack Obama","UNC"
"Barack Obama","UNC"
"Barack Obama","UNC"
"Barack Obama","UNC"
"Barack Obama","UNC"
"Barack Obama","UNC"
"Barack Obama","UNC"
"Barack Obama","UNC"
"Barack Obama","UNC"
"Barack Obama","UNC"
"Barack Obama","UNC"
"Barack Obama","UNC"
